mr,ref
"give_opinion(name[Rocket League], developer[Psyonix], rating[good], player_perspective[third person])",I think Rocket League is a solid game. It is one of the many good third person perspective games developed by Psyonix.
"give_opinion(name[Age of Wonders II: The Wizard's Throne], rating[poor], genres[role-playing, turn-based strategy])",Role-playing games that are turn-based strategy are all played out. Take for example Age of Wonders II: The Wizard's Throne; it's so boring.
"give_opinion(name[Life is Strange], rating[good], genres[role-playing], player_perspective[third person])","I do like Life is Strange. In fact, I enjoy third person role-playing games generally."
"give_opinion(name[Diablo II], developer[Blizzard North], rating[good], has_mac_release[yes])","Diablo II is a good game, I'd say. Blizzard North makes quality content, and the fact that it actually has a Mac release is nice."
"give_opinion(name[Metroid Prime Pinball], developer[Fuse Games], rating[average], platforms[Nintendo])","Frankly, I think Metroid Prime Pinball could be somewhat better. Fuse Games had never really excelled in the Nintendo platform."
"give_opinion(name[The Elder Scrolls V: Skyrim], developer[Bethesda Game Studios], rating[good], has_multiplayer[no])","Bethesda Game Studios did a good job with The Elder Scrolls V: Skyrim, the single-player campaign is so much fun."
"give_opinion(name[Super Mario World], rating[excellent], player_perspective[side view], has_multiplayer[yes])",I would rather play Super Mario World than eat or sleep! I can't remember a side view multiplayer game that was more exciting and fun.
"give_opinion(name[MotorStorm: Apocalypse], rating[poor], has_multiplayer[yes], platforms[PlayStation])","I didn't think MotorStorm: Apocalypse was any good. But then, multiplayer PlayStation games are often boring, in my experience."
"give_opinion(name[Call of Duty: Advanced Warfare], developer[Sledgehammer Games], rating[average], has_multiplayer[yes])","In my opinion, Sledgehammer Games messed up the multiplayer mode in Call of Duty: Advanced Warfare, though otherwise it was good enough."
"give_opinion(name[Stronghold 2], developer[Firefly Studios], esrb[T (for Teen)], rating[average])","For a game from Firefly Studios, Stronghold 2 is so-so. Not bad for a teen rated game."
"give_opinion(name[Payday 2], developer[Overkill Software], rating[average], has_multiplayer[yes])","Payday 2 isn't the worst game in the world, I'd say. It's got multiplayer which is always a plus, but Overkill Software just doesn't make games that stand out much."
"give_opinion(name[Tom Clancy's Splinter Cell: Chaos Theory], esrb[M (for Mature)], rating[good], genres[action, tactical])",I thought that Tom Clancy's Splinter Cell: Chaos Theory was a pretty fun game. I like tactical action games like it and the M rating meant it didn't need to hold back with its content.
"give_opinion(name[MotorStorm: Apocalypse], esrb[T (for Teen)], rating[poor], player_perspective[third person])","MotorStorm: Apocalypse was a dud, to be honest. I feel like this sort of third person game needs an M rating, and it only had a T."
"give_opinion(name[Stronghold 2], rating[average], platforms[PC], has_linux_release[no])","I thought that Stronghold 2 was okay because it was released for PC, but I wish they had released a Linux version."
"give_opinion(name[Portal 2], rating[excellent], player_perspective[first person], has_multiplayer[yes])","I've been having an absolute blast playing Portal 2. First person games are always my favorite, but the multiplayer makes it even better."
"give_opinion(name[Age of Wonders II: The Wizard's Throne], rating[poor], player_perspective[bird view])",I didn't enjoy Age of Wonders II: The Wizard's Throne at all. It's because I just can't stand the bird view perspective the game used.
"give_opinion(name[Lara Croft and the Temple of Osiris], rating[average], has_multiplayer[yes])",Lara Croft and the Temple of Osiris is an all around average experience briefly elevated by its decent multiplayer
"give_opinion(name[Mirror's Edge Catalyst], rating[average], player_perspective[first person], platforms[PlayStation])","Man, I thought Mirror's Edge Catalyst could have been so much better as a first person game for the PlayStation."
"give_opinion(name[Quantum Break], developer[Remedy Entertainment], rating[average])","I've never played a game from Remedy Entertainment that I really loved. Take Quantum Break, for example, it's decent but not great."
"give_opinion(name[World of Warcraft], release_year[2004], rating[good])","World of Warcraft is a very good game, even considering it launched in 2004."
"give_opinion(name[Madden NFL 15], rating[average], platforms[Xbox])","Madden NFL 15 is a decent game, but Xbox just isn't my favorite platform."
"give_opinion(name[Madden NFL 15], release_year[2014], rating[average])",Madden NFL 15 was a pretty average sports game for 2014.
"give_opinion(name[The Wolf Among Us], developer[Telltale Games], rating[good], platforms[PC])",I thought The Wolf Among Us was pretty good. The developer Telltale Games just knows how to make a quality PC game.
"give_opinion(name[Metroid Prime Pinball], rating[average], genres[pinball, puzzle], has_multiplayer[yes])",Metroid Prime Pinball is a pretty average multiplayer game in the pinball puzzle genre.
"give_opinion(name[Rocket League], rating[good], genres[sport, vehicular combat], has_multiplayer[yes])","I think that vehicular combat sports games can be fun as long as they have multiplayer, which is why I enjoy Rocket League."
"give_opinion(name[SpellForce 3], developer[Grimlore Games], rating[poor], available_on_steam[yes])","I'm not a big fan of games by Grimlore Games on Steam. SpellForce 3, for example, was a plain torture to play through."
"give_opinion(name[Guitar Hero: Smash Hits], developer[Beenox], rating[poor])",Guitar Hero: Smash Hits is just not my kind of game. I find Beenox games are often not very fun.
"give_opinion(name[Metroid Prime Pinball], release_year[2005], rating[average], genres[pinball, puzzle])","Metroid Prime Pinball is just okay. I usually like games released in 2005, since that was a strong year, but I'm not really a big fan of puzzle pinball games."
"give_opinion(name[Payday 2], esrb[M (for Mature)], rating[average], genres[role-playing, shooter])","I like gritty M rated RPGs, but the shooter elements in Payday 2 held it back and I was left feeling it was just okay."
"give_opinion(name[Call of Duty: Advanced Warfare], rating[average], player_perspective[first person], platforms[PlayStation])","Call of Duty: Advanced Warfare was just plain average. I like games that are on the PlayStation normally, but the first person perspective made the experience kind of mediocre."
"give_opinion(name[Tom Clancy's Splinter Cell: Chaos Theory], rating[good], genres[action, tactical], has_multiplayer[yes])",I'm pretty into Tom Clancy's Splinter Cell: Chaos Theory. I've always been a fan of multiplayer tactical action games.
"give_opinion(name[Mirror's Edge Catalyst], developer[EA Digital Illusions CE], rating[average], genres[action-adventure, fighting])",EA Digital Illusions CE gets a solid C for this entry into the action-adventure fighting game genre. Mirror's Edge Catalyst is nothing special.
"give_opinion(name[Age of Wonders II: The Wizard's Throne], rating[poor], has_mac_release[no])","Age of Wonders II: The Wizard's Throne didn't come to Mac, but that's alright, because the game is pretty terrible anyway."
"give_opinion(name[Quantum Break], developer[Remedy Entertainment], rating[average])","Quantum Break is an OK game from an okay developer, Remedy Entertainment."
"give_opinion(name[Silent Hill 2], rating[excellent], platforms[PC])",PC is the best platform because we get games like Silent Hill 2.
"give_opinion(name[The Last of Us], rating[excellent], player_perspective[third person], has_multiplayer[yes])",I loved The Last of Us. Third person multiplayer games are always super fun.
"give_opinion(name[Diablo II], developer[Blizzard North], rating[good], genres[hack-and-slash, role-playing])",Diablo II from Blizzard North is a good game and a nice example of the hack-and-slash role playing genre.
"give_opinion(name[Silent Hill 2], developer[Konami Computer Entertainment Tokyo], rating[excellent])","I love Silent Hill 2, just like most Konami Computer Entertainment Tokyo games."
"give_opinion(name[Age of Wonders II: The Wizard's Throne], rating[poor], has_mac_release[no])","Age of Wonders II: The Wizard's Throne doesn't have a Mac release, but that's OK since it's not a good game anyway."
"give_opinion(name[Sid Meier's Civilization V], rating[good], has_linux_release[yes], has_mac_release[yes])","I think Sid Meier's Civilization V is pretty good. It's a game I can play on both Mac and Linux, which is very nice to have."
"give_opinion(name[The Wolf Among Us], rating[good], genres[adventure, point-and-click], available_on_steam[yes])","The Wolf Among Us is a pretty fun game. I've always enjoyed point-and-click adventure games like it, and it being available on Steam is a nice bonus."
"inform(name[NBA 2K19], exp_release_date[September 11, 2018], developer[Visual Concepts], genres[sport], platforms[PlayStation, Xbox, Nintendo Switch, PC])","NBA 2K19 is a sport game developed by Visual Concepts. It is set to release on September 11, 2018 for PlayStation, Xbox, Nintendo Switch, and PC."
"inform(name[World of Warcraft], esrb[T (for Teen)], rating[good], genres[adventure, MMORPG], platforms[PC], has_linux_release[no], has_mac_release[yes])",World of Warcraft is a good adventure MMORPG game for PC and Mac. It's not available for Linux. The game is rated T (for Teen).
"inform(name[Payday 2], genres[role-playing, shooter], player_perspective[first person], has_multiplayer[yes])","Payday 2 is a role-playing, first person shooter that can be played in multiplayer with your friends."
"inform(name[Rollcage], genres[action, driving/racing], platforms[PlayStation, PC], has_linux_release[no], has_mac_release[no])",Rollcage is an action racing game. It's available on PlayStation and PC but has no Linux or Mac releases.
"inform(name[Tomb Raider: The Angel of Darkness], esrb[T (for Teen)], genres[action-adventure, shooter], player_perspective[third person], has_multiplayer[no])","Tomb Raider: The Angel of Darkness is a action-adventure, shooter game. It sports the third person perspective and does not support multiplayer. It is rated T (for Teen)."
"inform(name[Stronghold 2], release_year[2005], genres[real-time strategy, simulation], has_multiplayer[yes])",Stronghold 2 is a real-time strategy simulation game released in 2005 with multiplayer support.
"inform(name[Need for Speed: The Run], release_year[2011], rating[average], genres[driving/racing], player_perspective[first person, third person], platforms[PlayStation, Xbox, Nintendo, PC], available_on_steam[no])","Need for Speed: The Run is an average driving/racing game. This came out in 2011 and can be played on PlayStation, Nintendo, PC or Xbox. This game is not available on Steam and can be played in either third person or first person."
"inform(name[Age of Wonders II: The Wizard's Throne], release_year[2002], rating[poor], genres[role-playing, turn-based strategy], platforms[PC], has_linux_release[no], has_mac_release[no])",Age of Wonders II: The Wizard's Throne is a pretty bad turn-based role-playing strategy game from 2002. It was only released on PC--no Mac or Linux.
"inform(name[Stronghold 2], developer[Firefly Studios], genres[real-time strategy, simulation], platforms[PC], has_linux_release[no], has_mac_release[no])","Stronghold 2 by Firefly Studios is a real-time strategy simulation game for PC, but it is not supported on Linux or Mac."
"inform(name[Trivial Pursuit], release_year[2009], rating[poor], genres[trivia/board game])","Trivial Pursuit came out back in 2009 and it got mostly negative reviews. It's a board game where you answer trivia questions, and it's not very well-executed."
"inform(name[NBA 2K19], exp_release_date[September 11, 2018], genres[sport], platforms[PlayStation, Xbox, Nintendo Switch, PC])","NBA 2K19 is an NBA basketball sports games poised to be released across all platforms on September 11, 2018. To be specific, this game will be released for PlayStation, Xbox, Nintendo Switch, and PC."
"inform(name[The Room], release_year[2012], rating[excellent], genres[indie, point-and-click, puzzle])",The Room is an excellent indie point-and-click puzzle game released in 2012.
"inform(name[Metroid Prime Pinball], release_year[2005], developer[Fuse Games], esrb[E (for Everyone)], genres[pinball, puzzle], platforms[Nintendo])","Metroid Prime Pinball is a 2005 pinball, puzzle game developed by Fuse Games for Nintendo. It is rated E (for Everyone)."
"inform(name[Need for Speed: Most Wanted], release_year[2005], rating[good], genres[driving/racing], has_multiplayer[yes])",Need for Speed: Most Wanted is good multiplayer driving/racing game that came out in 2005.
"inform(name[Need for Speed: Most Wanted], release_year[2005], genres[driving/racing], has_multiplayer[yes], platforms[PlayStation, Xbox, Nintendo, PC], available_on_steam[no], has_linux_release[no], has_mac_release[no])","A racing game that you should check out is Need For Speed: Most Wanted. It's a multiplayer game released in 2005 for PlayStation, Xbox, Nintendo, and PC. It was not released for Steam, Linux, or Mac."
"inform(name[Ori and the Blind Forest], developer[Moon Studios], rating[excellent], genres[adventure, platformer, puzzle], has_multiplayer[no])",Ori and the Blind Forest is a fantastic adventure platformer with puzzles that has been developed by Moon Studios. The game doesn't have multiplayer support.
"inform(name[Final Fantasy VII], rating[excellent], genres[adventure, role-playing], platforms[PlayStation, PC], has_linux_release[no], has_mac_release[no])",Final Fantasy VII is an excellent adventure RPG for the PlayStation and PC. There's no Linux or Mac release.
"inform(name[Bus Driver], rating[poor], genres[driving/racing, indie, simulation])",Bus Driver is a poor indie driving simulator.
"inform(name[Need for Speed: The Run], release_year[2011], rating[average], genres[driving/racing], player_perspective[first person, third person], platforms[PlayStation, Xbox, Nintendo, PC], available_on_steam[no])","Release in 2011, Need for Speed: The Run is an average racing game that can be played on PlayStation, Xbox, Nintendo and even PC, but it isn't available on Steam. You can switch between the first person and third person perspective."
"inform(name[Small World 2], developer[Days of Wonder], genres[indie, trivia/board game], has_multiplayer[yes], platforms[PC], available_on_steam[yes])",Small World 2 from Days of Wonder is an indie trivia/board game with multiplayer for the PC through Steam.
"inform(name[SpellForce 3], rating[poor], genres[real-time strategy, role-playing])","SpellForce 3 is real-time strategy, role-playing game. It has received poor ratings."
"inform(name[Assassin's Creed Chronicles: India], rating[poor], genres[action-adventure, platformer], platforms[PlayStation, Xbox, PC], has_linux_release[no], has_mac_release[no])","Assassin's Creed Chronicles: India is an action-adventure platformer which received poor ratings from players. The game is available on PlayStation, Xbox, PC and has no Linux or Mac release."
"inform(name[The Last of Us], release_year[2013], rating[excellent], genres[action-adventure, shooter], player_perspective[third person], platforms[PlayStation])",The Last of Us is an excellent third person shooter game that is action-adventure. The game is on PlayStation only and came out in 2013.
"inform(name[Tom Clancy's The Division], release_year[2016], esrb[M (for Mature)], rating[average], genres[role-playing, shooter, tactical], has_multiplayer[yes])","If you enjoy role-playing shooter games with a tactical angle, try Tom Clancy's The Division. It came out in 2016 and it's a game with multiplayer support that has received average ratings. It's rated M (for Mature)."
"inform(name[Metro 2033], release_year[2010], genres[action, role-playing, shooter], has_multiplayer[no])","Metro 2033 is a 2010 single-player action, role-playing shooter."
"inform(name[Hellblade: Senua's Sacrifice], release_year[2017], genres[adventure, hack-and-slash, indie], player_perspective[third person])",Hellblade: Senua's Sacrifice is a 2017 third person indie adventure hack-and-slash game.
"inform(name[God of War], release_year[2018], developer[SIE Santa Monica Studio], rating[excellent], genres[action-adventure, platformer, role-playing], player_perspective[third person], has_multiplayer[no], platforms[PlayStation])",God of War is an excellent 2018 PlayStation game developed by SIE Santa Monica Studio. It doesn't have multiplayer. It is an action-adventure platformer with a third person perspective that even involves role-playing.
"inform(name[Spider-Man], exp_release_date[September 7, 2018], developer[Insomniac Games], genres[action-adventure], player_perspective[third person], platforms[PlayStation])","Spider-Man is a third person action-adventure game. It is developed by Insomniac Games for PlayStation. It will be released on September 7, 2018."
"inform(name[World of Warcraft], esrb[T (for Teen)], rating[good], genres[adventure, MMORPG], platforms[PC], has_linux_release[no], has_mac_release[yes])","World of Warcraft is a good adventure MMORPG for PC. It was released with a T (for Teen) rating. Currently, it has a Mac release, but no Linux release."
"inform(name[The Vanishing of Ethan Carter], esrb[M (for Mature)], rating[average], genres[adventure, indie])",The Vanishing of Ethan Carter is an average indie adventure game rated M (for Mature).
"inform(name[World of Warcraft], release_year[2004], developer[Blizzard Entertainment], rating[good], genres[adventure, MMORPG], player_perspective[third person])",World of Warcraft is a good third person adventure MMORPG. It was released in 2004 and developed by Blizzard Entertainment.
"inform(name[The Last of Us], release_year[2013], esrb[M (for Mature)], genres[action-adventure, shooter], player_perspective[third person])",The Last of Us is a 2013 third person action-adventure shooter. It has an ESRB rating of M (for Mature).
"inform(name[Mirror's Edge Catalyst], release_year[2016], genres[action-adventure, fighting], player_perspective[first person], platforms[PlayStation, Xbox, PC], available_on_steam[no])","Mirror's Edge Catalyst is a fighting and action-adventure game that plays in the first person perspective. It was released for PlayStation, Xbox and PC in 2016 but is not available on the Steam gaming platform."
"inform(name[Metroid Prime Pinball], release_year[2005], esrb[E (for Everyone)], rating[average], genres[pinball, puzzle], platforms[Nintendo])","Metroid Prime Pinball is a pinball puzzle game that was released in 2005 for the Nintendo, it was rated E (for everyone) and received an overall average rating."
"inform(name[Guitar Hero: Smash Hits], release_year[2009], esrb[T (for Teen)], rating[poor], genres[music], player_perspective[first person], platforms[PlayStation, Xbox, Nintendo])","The 2009 music game Guitar Hero: Smash Hits has poor ratings. You can play it on all consoles, such as PlayStation, Xbox, and Nintendo, and you play it from the first person view. ESRB rated the game T (for Teen)."
"inform(name[Tony Hawk's Pro Skater 3], developer[Neversoft Entertainment], rating[average], genres[sport], player_perspective[third person], platforms[PlayStation, Xbox, Nintendo, PC], available_on_steam[no])","Tony Hawk's Pro Skater 3, by Neversoft Entertainment, is a decent third person sports game. It runs on PlayStation, Xbox, Nintendo, and PC, but is not available on Steam."
"inform(name[Rollcage], release_year[1999], genres[action, driving/racing], platforms[PlayStation, PC], has_linux_release[no], has_mac_release[no])","Rollcage is a 1999 driving/racing game released for PlayStation and PC. Offering non-stop action, Rollcage is currently available for Windows with no release for Linux or Mac."
"inform(name[Silent Hill 2], release_year[2001], rating[excellent], genres[action-adventure, puzzle])",Silent Hill 2 is a great action-adventure puzzle game released in 2001.
"inform(name[SpellForce 3], release_year[2017], rating[poor], genres[real-time strategy, role-playing], platforms[PC], available_on_steam[yes])",SpellForce 3 is a poor real-time strategy that came out in 2017 for PC only. The role-playing game is also on Steam.
"inform(name[Skyforge], release_year[2015], rating[poor], genres[adventure, hack-and-slash, MMORPG], player_perspective[third person])","Skyforge is a poor third person adventure, hack-and-slash, MMORPG released in 2015."
"inform(name[Assassin's Creed II], genres[action-adventure, platformer], player_perspective[third person], has_multiplayer[no], platforms[PlayStation, Xbox, PC], has_linux_release[no], has_mac_release[yes])","Assassin's Creed II is a third person action-adventure platforming game that you can play on PlayStation, Xbox, and PC. It's even available on Mac, but not Linux. Unfortunately, there's no multiplayer."
"inform(name[Super Bomberman], release_year[1993], rating[average], genres[action, strategy])",Super Bomberman came out in 1993. It's an average game with action and strategy.
"inform(name[The Forest of Doom], rating[average], genres[role-playing, text adventure], platforms[PC], has_linux_release[yes], has_mac_release[yes])","The Forest of Doom is a role-playing text adventure game for PC only, with a Linux and Mac release too. If you enjoy such games, you might find this one pretty decent."
"inform(name[Never Alone], genres[adventure, indie, platformer], platforms[PlayStation, Xbox, PC], has_linux_release[yes], has_mac_release[no])","The indie adventure platformer, Never Alone, can be played on PlayStation, Xbox, and PC. It even runs on Linux, but sadly not on Mac."
"inform(name[Assetto Corsa], developer[Kunos Simulazioni], rating[good], genres[driving/racing, simulation, sport], player_perspective[first person, third person])",Assetto Corsa is a good driving racing simulation sport game by Kunos Simulazioni. It uses a first and third person perspective.
"inform(name[The Room], genres[indie, point-and-click, puzzle], player_perspective[first person], has_multiplayer[no])",The Room is an indie first person point-and-click puzzle game. It does not have multiplayer.
"inform(name[Transport Tycoon], genres[simulation, strategy], player_perspective[bird view])",Transport Tycoon is a bird view strategy and simulation game.
"inform(name[Trivial Pursuit], release_year[2009], developer[Electronic Arts], rating[poor], genres[trivia/board game], platforms[PlayStation, Nintendo])",Trivial Pursuit is a trivia/board game that was released on PlayStation and Nintendo by Electronic Arts in 2009. It received poor ratings.
"inform(name[Call of Duty: Advanced Warfare], genres[action, shooter], player_perspective[first person], platforms[PlayStation, Xbox, PC], has_linux_release[no], has_mac_release[no])","If you're looking for an action shooter game, try Call of Duty: Advanced Warfare. It has a first person player perspective, and it's available for PlayStation, Xbox, and PC. There is no Linux or Mac release."
"inform(name[Bus Driver], rating[poor], genres[driving/racing, indie, simulation], has_multiplayer[no], platforms[PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","Bus Driver is a single-player indie driving sim available on PC only, and is available on Steam. This game has an overall poor rating. It is not supported for Linux or Mac."
"inform(name[Tom Clancy's Splinter Cell: Chaos Theory], release_year[2005], genres[action, tactical], player_perspective[first person, third person], has_multiplayer[yes])",Tom Clancy's Splinter Cell: Chaos Theory is a tactical action game that was released in 2005. It has multiplayer capabilities and is played in first and third person perspective.
"inform(name[The Elder Scrolls Online], release_year[2014], rating[average], genres[MMORPG], player_perspective[first person, third person])","A decent game to try is the MMORPG The Elder Scrolls Online, released in 2014. You can play it in first person or third person perspective."
"inform(name[The Wolf Among Us], esrb[M (for Mature)], genres[adventure, point-and-click], player_perspective[third person], has_multiplayer[no], platforms[PlayStation, Xbox, PC], available_on_steam[yes])","The Wolf Among Us is a third person, point-and-click adventure game that is available on Steam and for the PlayStation, Xbox, and PC. It doesn't support multiplayer and is rated M (for Mature)."
"inform(name[Skyforge], genres[adventure, hack-and-slash, MMORPG], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","One of my favorite PC games from Steam is Skyforge. Although it is unavailable on Linux and Mac systems, you can play the MMORPG on the PlayStation and Xbox consoles. The gameplay includes elements of adventure and the combat features engaging hack-and-slash action."
"inform(name[Layers of Fear], rating[poor], genres[adventure, indie, point-and-click], platforms[PlayStation, Xbox, Nintendo Switch, PC], available_on_steam[yes])","In order to avoid a poor gaming experience, steer clear of Layers of Fear. It's an indie point-and-click adventure for the PlayStation, Xbox, Nintendo Switch, and PC through Steam."
"inform(name[F1 2014], developer[Codemasters Birmingham], genres[driving/racing, simulation, sport])","Codemasters Birmingham developed a gamed called F1 2014, which is a sport racing simulator."
"inform(name[Grand Theft Auto V], esrb[M (for Mature)], genres[action-adventure, driving/racing, shooter], player_perspective[first person, third person], has_multiplayer[yes])","Grand Theft Auto V is an action-adventure game that includes driving/racing and shooting. It is played in both the third person and first person perspectives, and can be played with your friends. Be aware, it is rated M (for Mature)."
"inform(name[The Room], developer[Fireproof Games], rating[excellent], genres[indie, point-and-click, puzzle])",The Room is a great indie point-and-click puzzle game made by Fireproof Games.
"inform(name[Metroid Prime Pinball], esrb[E (for Everyone)], rating[average], genres[pinball, puzzle], has_multiplayer[yes], platforms[Nintendo])","A decent game that I have played in the past is the pinball puzzle game Metroid Prime Pinball. It is rated E (for everyone), and you can play it multiplayer. It is made for the Nintendo consoles only."
"inform(name[Heroes of Might and Magic III: The Restoration of Erathia], release_year[1999], rating[good], genres[turn-based strategy])",Heroes of Might and Magic III: The Restoration of Erathia is a 1999 turn-based strategy game with good ratings.
"inform(name[TrackMania Turbo], release_year[2016], rating[good], genres[arcade, driving/racing], player_perspective[first person, third person], has_multiplayer[yes])",TrackMania Turbo is a good driving/racing arcade game released in 2016. It is a multiplayer game with first and third person perspective.
"inform(name[The Witcher 3: Wild Hunt], genres[action-adventure, role-playing], has_multiplayer[no])",I had fun playing The Witcher 3: Wild Hunt. It's a single-player action-adventure RPG.
