mr,ref
"inform(name[Mirror's Edge Catalyst], release_year[2016], developer[EA Digital Illusions CE], esrb[T (for Teen)], rating[average], genres[action-adventure, fighting], player_perspective[first person])",Mirror's Edge Catalyst by EA Digital Illusions CE is from 2016. It is an average action-adventure fighting game rated T (for Teen) and has first person view.
"inform(name[Superhot], release_year[2016], rating[average], genres[indie, shooter, tactical], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[yes], has_mac_release[yes])","Superhot is an average indie tactical shooter from 2016. It runs on PlayStation, Xbox, and PC, and it is supported on both Mac and Linux systems. You can download the game from Steam."
"inform(name[Guitar Hero: Smash Hits], rating[poor], genres[music], player_perspective[first person], platforms[PlayStation, Xbox, Nintendo])","Guitar Hero: Smash Hits is a poor first person music game. The game is available on either PlayStation, Xbox, or Nintendo."
"inform(name[Silent Hill 2], developer[Konami Computer Entertainment Tokyo], genres[action-adventure, puzzle], player_perspective[third person], platforms[PlayStation, Xbox, PC], available_on_steam[no])","Silent Hill 2 is an action-adventure puzzle game by Konami Computer Entertainment Tokyo. The game is played from a third person perspective. It was released for PlayStation, Xbox, and PC, but is not available on Steam."
"inform(name[Half-Life 2], release_year[2004], esrb[M (for Mature)], rating[excellent], genres[shooter], player_perspective[first person], has_multiplayer[no])","Half-Life 2 is an excellent FPS released in 2004. It does not have multiplayer, and is rated M (for Mature)."
"inform(name[Need for Speed: Most Wanted], rating[good], genres[driving/racing], player_perspective[first person, third person], platforms[PlayStation, Xbox, Nintendo, PC], has_linux_release[no], has_mac_release[no])","Need for Speed: Most Wanted is a good first and third person racing game. It runs on PlayStation, Xbox, Nintendo, and PC, but it is not available for Mac or Linux."
"inform(name[Tom Clancy's The Division], developer[Massive Entertainment], esrb[M (for Mature)], genres[role-playing, shooter, tactical], platforms[PlayStation, Xbox, PC], available_on_steam[yes])","Massive Entertainment developed the tactical shooter and role-playing game Tom Clancy's The Division. The game is for a mature audience and is available on PlayStation, Xbox, PC and Steam."
"inform(name[The Forest of Doom], release_year[2014], developer[Tin Man Games], rating[average], genres[role-playing, text adventure], has_multiplayer[no])","The Forest of Doom is a role-playing text adventure game released in 2014 by Tin Man Games. It has an average rating, but no multiplayer."
"inform(name[Tom Clancy's The Division], developer[Massive Entertainment], rating[average], genres[role-playing, shooter, tactical], player_perspective[third person], platforms[PlayStation, Xbox, PC], available_on_steam[yes])","Tom Clancy's The Division by Massive Entertainment is an average third person tactical shooter RPG. It's on PlayStation, Xbox, and PC available through Steam."
"inform(name[BioShock], release_year[2007], rating[good], genres[action-adventure, role-playing, shooter], player_perspective[first person], has_multiplayer[no])","BioShock, released in 2007, is a good action-adventure role-playing shooter played in first person. It is not a multiplayer game."
"inform(name[Stronghold 2], release_year[2005], rating[average], genres[real-time strategy, simulation], player_perspective[bird view], platforms[PC], has_linux_release[no], has_mac_release[no])","Stronghold 2 is an average real-time strategy simulation game that came out in 2005 for PC only. The perspective is a bird view in the game, and there is no Linux or Mac release."
"inform(name[TrackMania Turbo], rating[good], genres[arcade, driving/racing], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","TrackMania Turbo is a good arcade racing game. It can be played on PlayStation, Xbox, PC, and it is on Steam. It is not released on Linux or Mac."
"inform(name[The Room], rating[excellent], genres[indie, point-and-click, puzzle])","You should try the Room, it's an excellent point-and-click indie puzzle game."
"inform(name[The Forest of Doom], developer[Tin Man Games], rating[average], genres[role-playing, text adventure], has_multiplayer[no], platforms[PC], has_linux_release[yes], has_mac_release[yes])","The Forest of Doom is a decent role-playing text adventure game that was developed by Tin Man Games. It is only available on PC, but has a Linux and a Mac release. It can only be played as a single-player game."
"inform(name[World of Warcraft], rating[good], genres[adventure, MMORPG], player_perspective[third person])",World of Warcraft is a good adventure MMORPG that you play from a third person perspective.
"inform(name[Guitar Hero: Smash Hits], release_year[2009], esrb[T (for Teen)], rating[poor], genres[music], has_multiplayer[yes], platforms[PlayStation, Xbox, Nintendo])","Guitar Hero: Smash Hits is a poor music game from 2009. It has multiplayer and is available for PlayStation, Xbox, and Nintendo. The game is rated T (for Teen)."
"inform(name[NBA 2K16], developer[Visual Concepts], genres[sport], has_multiplayer[yes], platforms[PlayStation, Xbox, PC], available_on_steam[yes])","If you are interested in sport games that have multiplayer, try NBA 2K16 from Visual Concepts. You can get it on PlayStation, Xbox, and PC and is available on Steam."
"inform(name[Mirror's Edge Catalyst], genres[action-adventure, fighting], platforms[PlayStation, Xbox, PC], available_on_steam[no], has_linux_release[yes], has_mac_release[no])","If you are into action-adventure fighting games, you should check out Mirror's Edge Catalyst. It's available for PlayStation, Xbox, and PC. It has a Linux release but isn't available on Steam or Mac."
"inform(name[Transport Tycoon], genres[simulation, strategy], platforms[PC], available_on_steam[no])","The PC only simulation strategy, Transport Tycoon, is unfortunately not available on Steam."
"inform(name[Madden NFL 15], release_year[2014], rating[average], genres[simulation, sport], player_perspective[bird view, third person], platforms[PlayStation, Xbox])",Madden NFL 15 is a decent third person sports simulation game that allows you to play from a bird view perspective too. It was released in 2014 for PlayStation and Xbox consoles only.
"inform(name[Need for Speed: Most Wanted], release_year[2005], esrb[T (for Teen)], rating[good], genres[driving/racing])",2005's Need for Speed: Most Wanted was a fun racing game that was rated T (for Teen).
"inform(name[Metroid Prime Pinball], release_year[2005], esrb[E (for Everyone)], rating[average], genres[pinball, puzzle], has_multiplayer[yes], platforms[Nintendo])","Metroid Prime Pinball was released in 2005 by Nintendo for those who enjoy puzzles and pinball. Rated E for everyone to enjoy, this otherwise average game can be played in multiplayer too."
"inform(name[The Forest of Doom], developer[Tin Man Games], genres[role-playing, text adventure], has_multiplayer[no], platforms[PC], available_on_steam[yes], has_linux_release[yes], has_mac_release[yes])","If you are into text adventure single-player RPGs you should check out The Forest of Doom. It is a game by Tin Man Games that is out for PC, Linux, and Mac through Steam."
"inform(name[Grand Theft Auto V], developer[Rockstar North], esrb[M (for Mature)], rating[excellent], genres[action-adventure, driving/racing, shooter], player_perspective[first person, third person])",Grand Theft Auto V is an action-adventure driving racing shooter developed by Rockstar North. It has an M (for Mature) rating and received excellent reviews from players. The game offers both first and third person perspectives.
"inform(name[FIFA 12], release_year[2011], esrb[E (for Everyone)], genres[simulation, sport], player_perspective[bird view, side view], has_multiplayer[yes])",FIFA 12 is a sports simulator played with a bird- and side view. It was released in 2011 with multiplayer features. It has an E content rating.
"inform(name[Mass Effect 2], release_year[2010], esrb[M (for Mature)], genres[action-adventure, role-playing, shooter], player_perspective[third person], has_multiplayer[no])","Also from 2010 is Mass Effect 2, rated M (for Mature). It's a third person action-adventure shooter RPG with no multiplayer."
"inform(name[Tomb Raider: The Last Revelation], rating[good], genres[action-adventure, puzzle, shooter], player_perspective[third person], has_multiplayer[no], platforms[PlayStation, PC], available_on_steam[yes])",Tomb Raider: The Last Revelation is a good third person action-adventure shooter with puzzles that was released for PlayStation and PC and is currently available on Steam. It does not feature multiplayer.
"inform(name[The Witcher 3: Wild Hunt], rating[excellent], genres[action-adventure, role-playing], player_perspective[third person], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","Role-playing action-adventure enthusiasts will love the excellent title, The Witcher 3: Wild Hunt. The third person video game is supported by PlayStation, Xbox, PC and is available on Steam, but no Mac or Linux versions are on offer."
"inform(name[Rollcage], genres[action, driving/racing], platforms[PlayStation, PC], has_linux_release[no], has_mac_release[no])",Rollcage is an action racing game. It's available on PlayStation and PC but has no Linux or Mac releases.
"recommend(name[Uncharted 4: A Thief's End], player_perspective[third person], platforms[PlayStation])",One of my favorite PlayStation games with a third person perspective is Uncharted 4: A Thief's End. Do you know of it?
"recommend(name[The Wolf Among Us], player_perspective[third person])","Speaking of third person perspective games, have you played The Wolf Among Us?"
"recommend(name[NBA 2K16], player_perspective[third person])","Since you're into third person games, I bet you'd love NBA 2K16. Do you know anything about it?"
"recommend(name[Metroid Prime Pinball], platforms[Nintendo])","And speaking of Nintendo games, have you heard of Metroid Prime Pinball?"
"recommend(name[Resident Evil 4], genres[action-adventure, shooter], platforms[Nintendo])",Have you ever tried the Nintendo action-adventure shooting game Resident Evil 4?
"recommend(name[The Wolf Among Us], developer[Telltale Games], genres[adventure, point-and-click])",I think my favorite out of all the point-and-click adventure games made by Telltale Games might actually be The Wolf Among Us. Have you played it?
"request(esrb[E 10+ (for Everyone 10 and Older)], specifier[frightening])",Have you ever played a game that was rated E 10+ by the ESRB yet still managed to be genuinely frightening?
request(specifier[addictive]),Have you played a game recently that you found really addictive?
request(specifier[sad]),What's a really sad game you've played?
"request(release_year[2017], specifier[bizarre])",Do you know of any bizarre games that came out in 2017?
"request(has_linux_release[no], specifier[favorite])",What's your favorite game without a Linux release?
"request(developer[Hazelight Studios], specifier[classic])",What do you think is the most classic game made by Hazelight Studios?
request(specifier[visually impressive]),Can you suggest a really visually impressive game?
request_attribute(platforms[]),What gaming platform do you prefer?
request_attribute(developer[]),Do you like to play games from a specific developer?
"request_explanation(rating[average], genres[driving/racing, sport], player_perspective[first person])",Why do you find first person sport racing games to be okay but nothing spectacular?
"request_explanation(release_year[2017], developer[Grimlore Games], rating[poor])",What is it about the games Grimlore Games released in 2017 that makes you say they're terrible?
"request_explanation(rating[good], genres[adventure, platformer, puzzle])","I'm curious, what is it about adventure puzzle platformers that you enjoy?"
"request_explanation(release_year[2015], rating[good], platforms[PlayStation])",What is your favorite thing about 2015 PlayStation games?
"request_explanation(developer[Hudson Soft], rating[average], player_perspective[bird view])",I understand you are not too fond of bird's eye view games developed by Hudson Soft. Why is that though?
"request_explanation(rating[excellent], player_perspective[third person])",What is it about games with a third person perspective that makes you find them so excellent?
"suggest(name[Tom Clancy's Splinter Cell: Chaos Theory], genres[action, tactical], player_perspective[third person])","I'm wondering, do you like playing third person tactical action games, like for example Tom Clancy's Splinter Cell: Chaos Theory?"
"suggest(name[Max Payne], esrb[M (for Mature)], platforms[Xbox])","Do you play M rated Xbox games, such as Max Payne?"
"suggest(name[Worms: Reloaded], developer[Team17 Digital Ltd])","I wonder if you like games developed by Team17 Digital Ltd, for example, Worms: Reloaded?"
"suggest(name[Metro 2033], genres[action, role-playing, shooter], has_multiplayer[no])","Are you fond of single-player action shooter RPGs, like Metro 2033?"
"suggest(name[BioShock], developer[2K Boston])","Do you like games developed by 2K Boston, like BioShock?"
"suggest(name[Resident Evil 4], developer[Capcom Production Studio 4])","Have you played any games from Capcom Production Studio 4, like Resident Evil 4?"
"verify_attribute(name[NHL 15], developer[EA Canada], rating[average], genres[simulation, sport])",You mentioned you thought NHL 15 was average. Are you commonly unimpressed with sports simulation games from EA Canada?
"verify_attribute(name[World of Warcraft], rating[good], has_mac_release[yes])","You enjoyed World of Warcraft, huh? Do you like other games on the Mac too?"
"verify_attribute(name[Tom Clancy's The Division], rating[average], has_multiplayer[yes], platforms[PC])","You said you were indifferent towards Tom Clancy's The Division. In general, are you indifferent towards multiplayer games on the PC?"
"verify_attribute(name[Rollcage], developer[Attention To Detail], rating[average], genres[action, driving/racing])",You said earlier that Rollcage is merely average. Are you generally somewhat unsatisfied by action games with driving and racing by Attention To Detail?
"verify_attribute(name[Uncharted 4: A Thief's End], developer[Naughty Dog], rating[excellent], genres[action-adventure, shooter])",You mentioned that you really enjoyed Uncharted 4: A Thief's End. Would you say you are a fan of action-adventure shooters from Naughty Dog?
"verify_attribute(name[The Legend of Zelda: Ocarina of Time], esrb[E (for Everyone)], rating[excellent], platforms[Nintendo])","So since you mentioned that you absolutely loved The Legend of Zelda: Ocarina of Time, it got me curious about something. Do you also love Nintendo's lineup of other E rated games?"
"verify_attribute(name[The Forest of Doom], rating[average], genres[role-playing, text adventure])","Do you usually find Text adventure RPGs barely adequate, or was it just The Forest of Doom that was lackluster?"
"verify_attribute(name[Max Payne], rating[good], player_perspective[third person], platforms[PC])","So you had fun playing Max Payne, if I recall right. Do you also enjoy other third person games for the PC?"
"verify_attribute(name[Dance Dance Revolution Universe 3], developer[Konami], rating[poor], genres[music])",You mentioned disliking Dance Dance Revolution Universe 3. Are you generally not fond of music games from Konami?
"verify_attribute(name[Mass Effect 2], developer[BioWare], rating[excellent], genres[action-adventure, role-playing, shooter])",You mentioned absolutely loving BioWare's Mass Effect 2. Do you feel the same way about other action-adventure RPGs which are shooters?
"verify_attribute(name[The Forest of Doom], release_year[2014], rating[average], platforms[PC])",I remember you saying that The Forest of Doom was an okay game. Would you say other PC games from 2014 are mostly just okay games?
