mr,ref
"confirm(name[Shadow of the Tomb Raider], developer[Eidos Montréal], player_perspective[third person])","Do you mean Eidos Montréal's third person masterpiece, Shadow of the Tomb Raider?"
"confirm(name[Superhot], developer[SUPERHOT Team], genres[indie, shooter, tactical])","Are you talking about the indie tactical shooter from SUPERHOT Team, Superhot?"
"confirm(name[The Elder Scrolls Online], genres[MMORPG], has_mac_release[yes])",Was it the MMORPG game The Elder Scrolls Online that was released on Mac?
"confirm(name[Silent Hill 2], genres[action-adventure, puzzle], platforms[Xbox])","Oh do you mean the action-adventure puzzle game on Xbox, Silent Hill 2?"
"confirm(name[Grand Theft Auto V], esrb[M (for Mature)])","This is the Grand Theft Auto V that's got an M rating, correct?"
"confirm(name[BioShock], release_year[2007], developer[2K Boston])","When you mention BioShock, do you mean the one that was developed by 2K Boston back in 2007?"
"confirm(name[BioShock], release_year[2007], developer[2K Boston])","BioShock, which was released in 2007 by 2K Boston, right?"
"confirm(name[Undertale], developer[tobyfox], available_on_steam[yes])","When you mention Undertale, do you mean the game that was developed by tobyfox and which you can get on Steam?"
"confirm(name[The Elder Scrolls Online], release_year[2014], platforms[PC])","Oh, you mean The Elder Scrolls Online, the PC game from 2014, right?"
"confirm(name[Worms: Reloaded], has_linux_release[yes], has_mac_release[yes])","By Worms: Reloaded, do you mean the game that's got both Mac and Linux releases?"
"confirm(name[Mafia], genres[driving/racing, fighting, shooter], player_perspective[third person])","By Mafia, do you mean the third person game that combined the driving, fighting, and shooter genres?"
"confirm(name[BioShock], platforms[PC], available_on_steam[yes])","Are you talking about BioShock, the PC game you can buy on Steam?"
"confirm(name[Hellblade: Senua's Sacrifice], release_year[2017], developer[Ninja Theory])","Oh, do you mean the 2017 game from Ninja Theory, Hellblade: Senua's Sacrifice?"
"confirm(name[Tomb Raider: The Angel of Darkness], has_multiplayer[no], has_linux_release[no])",Is the Tomb Raider: The Angel of Darkness you mentioned the one that's single-player only and doesn't have a Linux release?
"confirm(name[Ori and the Blind Forest], esrb[E (for Everyone)])",Are you talking about the E rated Ori and the Blind Forest?
"confirm(name[BioShock], release_year[2007], developer[2K Boston])","Do you mean 2K Boston's 2007 game, BioShock?"
"confirm(name[Shadow of the Tomb Raider], genres[adventure, shooter], platforms[Xbox])",Is the Shadow of the Tomb Raider you mentioned the adventure shooter that's on the Xbox?
"confirm(name[Tony Hawk's Pro Skater 3], player_perspective[third person], platforms[PC])","Are you talking about Tony Hawk's Pro Skater 3, the PC game in third person?"
"confirm(name[Tony Hawk's Pro Skater 3], release_year[2001], developer[Neversoft Entertainment])","You're talking about Tony Hawk's Pro Skater 3, the 2001 game developed by Neversoft Entertainment, right?"
"confirm(name[Worms: Reloaded], player_perspective[side view], available_on_steam[yes])","Do you mean the Worms: Reloaded with a side view, released on Steam?"
"confirm(name[Little Big Adventure], player_perspective[third person])","Do you mean the third person game, Little Big Adventure?"
"confirm(name[Shadow of the Tomb Raider], developer[Eidos Montréal], player_perspective[third person])",Are you talking about the Shadow of the Tomb Raider that was created by Eidos Montréal and has a third person perspective?
"confirm(name[Worms: Reloaded], genres[action, platformer, strategy], platforms[PC])","You mean Worms: Reloaded, the PC action and strategy platformer?"
"confirm(name[Horizon: Zero Dawn], platforms[PlayStation])",Is this the Horizon: Zero Dawn on the PlayStation?
"confirm(name[Need for Speed: The Run], has_multiplayer[yes])",Is this the Need for Speed: The Run with a multiplayer?
"confirm(name[Ancient Cities], platforms[PC])","Do you mean the PC game, Ancient Cities?"
"confirm(name[Little Big Adventure], genres[action-adventure], player_perspective[third person])","Are you talking about Little Big Adventure, the third person action-adventure game?"
"confirm(name[Might & Magic: Heroes VI], player_perspective[bird view], platforms[PC])","When you mention Might & Magic: Heroes VI, do you mean the PC game with a bird view perspective?"
"confirm(name[Grand Theft Auto V], player_perspective[third person])","Do you mean Grand Theft Auto V, the third person game?"
"confirm(name[Ori and the Blind Forest], release_year[2015])","When you mentioned Ori and the Blind Forest, are you talking about the 2015 game?"
"confirm(name[Tomb Raider: The Angel of Darkness], has_multiplayer[no], has_linux_release[no])",Are you talking about the Tomb Raider: The Angel of Darkness with a Linux release that doesn't have multiplayer?
"confirm(name[Ancient Cities], developer[Uncasual Games], player_perspective[bird view])","Are you talking about Ancient Cities, the bird view perspective game developed by Uncasual Games?"
"confirm(name[Layers of Fear], release_year[2015], developer[Bloober Team])",Do you mean the Layers of Fear that Bloober Team made and released in 2015?
"confirm(name[The Elder Scrolls Online], genres[MMORPG], platforms[PC])","Oh, do you mean the PC MMORPG, The Elder Scrolls Online?"
"give_opinion(name[Sid Meier's Civilization V], esrb[E 10+ (for Everyone 10 and Older)], rating[good], has_multiplayer[yes])","Sid Meier's Civilization V is a good game, especially because I can play with my kids since it's multiplayer and rated E 10+."
"give_opinion(name[Might & Magic: Heroes VI], developer[Black Hole Entertainment], rating[average], genres[role-playing, turn-based strategy])","Might & Magic: Heroes VI wasn't a bad game, but it didn't live up to my hopes. I normally enjoy games that blend role-playing and turn-based strategy together, but it's clear Black Hole Entertainment didn't really know how to make a game like that."
"give_opinion(name[Super Mario World], rating[excellent], player_perspective[side view], has_multiplayer[yes])","I really, really loved Super Mario World. The side view perspective made it easy to play, and the multiplayer means I can play it with friends too."
"give_opinion(name[Commandos: Behind Enemy Lines], developer[Pyro Studios], rating[good], platforms[PC])",I thought Commandos: Behind Enemy Lines was good. I generally enjoy releases from Pyro Studios on PC.
"give_opinion(name[The Wolf Among Us], developer[Telltale Games], rating[good], platforms[PC])",The Wolf Among Us is another good PC game from Telltale Games.
"give_opinion(name[Worms: Reloaded], rating[average], player_perspective[side view], has_mac_release[yes])","Worms: Reloaded was an okay game, which I enjoyed getting to play on my Mac. Though the side view does feel a little dated."
"give_opinion(name[The Wolf Among Us], rating[good], genres[adventure, point-and-click], available_on_steam[yes])","The Wolf Among Us is a pretty fun game. I've always enjoyed point-and-click adventure games like it, and it being available on Steam is a nice bonus."
"give_opinion(name[The Room], developer[Fireproof Games], rating[excellent], has_linux_release[yes])","I still can't believe how much I fell in love with The Room. Fireproof Games always makes such awesome games, and it having a Linux release too just made it even better from my perspective."
"give_opinion(name[StarCraft], developer[Blizzard Entertainment], rating[good], platforms[PC])","StarCraft is pretty fun! Blizzard Entertainment's PC games tend to be good overall, in my experience."
"give_opinion(name[Tom Clancy's The Division], release_year[2016], rating[average], has_multiplayer[yes])","Normally I'm not into games like Tom Clancy's The Division, but this 2016 game is okay because it has multiplayer."
"give_opinion(name[Mirror's Edge Catalyst], release_year[2016], rating[average], has_multiplayer[yes])","Mirror's Edge Catalyst is a game I don't regret playing, but it's not one that's gonna stick with me. It's got multiplayer which I liked, but it came out in 2016 and for whatever reason I just am not a fan of games from what year."
"give_opinion(name[Age of Empires II: The Age of Kings], esrb[T (for Teen)], rating[good], has_multiplayer[yes])","I have fun playing Age of Empires II: The Age of Kings. I like that it has a multiplayer and, since it's only rated T (for Teen), I'm able to play it with friends and younger siblings."
"give_opinion(name[Might & Magic: Heroes VI], developer[Black Hole Entertainment], rating[average], player_perspective[bird view])","I think Might & Magic: Heroes VI is all right, but nothing special. The bird view perspective is nice and makes it easy to play, but Black Hole Entertainment is not a developer I care for."
"give_opinion(name[Lara Croft and the Temple of Osiris], esrb[T (for Teen)], rating[average])",Lara Croft and the Temple of Osiris is an ultimately average T-rated entry in the series.
"give_opinion(name[NBA 2K16], esrb[E 10+ (for Everyone 10 and Older)], rating[good], has_multiplayer[yes])","I've been enjoying playing NBA 2K16 lately. Thanks to it's E 10+ rating and multiplayer functions, I can play it with most of my family."
"give_opinion(name[Life is Strange], release_year[2015], rating[good], platforms[PC])","I often enjoy a game of Life is Strange. In fact, it's one of the few PC games I like that were released back in 2015."
"give_opinion(name[Super Mario World], rating[excellent], has_multiplayer[yes], platforms[Nintendo])","Super Mario World is a really amazing game. I love games for the Nintendo like it, and the fact that it has multiplayer just makes it even better."
"give_opinion(name[Tom Clancy's Splinter Cell: Chaos Theory], developer[Ubisoft Montreal], rating[good], player_perspective[first person])",Ubisoft Montreal outdid themselves when they made Tom Clancy's Splinter Cell: Chaos Theory. From the first person perspective it looks so realistic.
"give_opinion(name[Metroid Prime Pinball], developer[Fuse Games], esrb[E (for Everyone)], rating[average])","Fuse Games maybe did their best with Metroid Prime Pinball, and they easily kept to Nintendo's preferred E rating, but it's just not the game for me."
"give_opinion(name[Need for Speed: Most Wanted], developer[EA Redwood Shores], rating[good], genres[driving/racing])",I had a good time playing Need for Speed: Most Wanted. I've found that I generally enjoy driving/racing games developed by EA Redwood Shores.
"give_opinion(name[Ori and the Blind Forest], rating[excellent], genres[adventure, platformer, puzzle], player_perspective[side view])","Ori and the Blind Forest is a truly wonderful game. The mixture of platforming, adventure, and puzzles is really excellent, and the side view perspective just helps all the elements come together nicely."
"give_opinion(name[Dirt: Showdown], developer[Codemasters Southam], rating[average], player_perspective[first person])",I thought Dirt: Showdown was just ordinary. Codemasters Southam's choice of a first person perspective was not a smart one.
"give_opinion(name[Lara Croft and the Temple of Osiris], developer[Crystal Dynamics], rating[average])",I thought that Lara Croft and the Temple of Osiris was merely average. I think that the developer Crystal Dynamics is just a mediocre developer.
"give_opinion(name[RollerCoaster Tycoon], rating[good], genres[simulation, strategy], player_perspective[bird view])",I think RollerCoaster Tycoon was a good game because the strategy simulator gameplay was fun and the bird view perspective made it easy to play.
"give_opinion(name[Mirror's Edge Catalyst], developer[EA Digital Illusions CE], rating[average], genres[action-adventure, fighting])","EA Digital Illusions CE did an okay job on Mirror's Edge Catalyst, but the action-adventure fighting game didn't really live up to my hype for it."
"give_opinion(name[Diablo II], developer[Blizzard North], rating[good], genres[hack-and-slash, role-playing])",I must say I was a fan of Diablo II. I like Blizzard North's work in the hack-and-slash RPG genre.
"give_opinion(name[Tomb Raider: The Last Revelation], developer[Core Design], rating[good], has_multiplayer[no])","Tomb Raider: The Last Revelation works pretty well as a game, it doesn't have multiplayer but then again it doesn't need it. Core Design's quality speaks for itself."
"give_opinion(name[World of Warcraft], rating[good], available_on_steam[no])","World of Warcraft is pretty good, unfortunately you have to download a launcher for it on its own, since it's not available on Steam."
"give_opinion(name[Mirror's Edge Catalyst], rating[poor], has_multiplayer[yes])","Mirror's Edge Catalyst wasn't too fun for me. It's multiplayer, and I prefer to play alone."
"give_opinion(name[The Elder Scrolls Online], rating[average], player_perspective[first person], has_mac_release[yes])","The Elder Scrolls Online was not terribly bad, but that's just because I have a thing for first person games on Mac."
"give_opinion(name[Guitar Hero: Smash Hits], esrb[T (for Teen)], rating[poor], genres[music])","I don't like music games, though I do at least like listening to music. However, the T rating of Guitar Hero: Smash Hits meant it couldn't include my favorite songs, and even that small joy was robbed from me."
"give_opinion(name[Need for Speed: Most Wanted], release_year[2005], rating[good], platforms[Xbox])","Need for Speed: Most Wanted was a strong release in 2005. It was basically the only reason I bought an Xbox originally, and I didn't regret that at all."
"give_opinion(name[MotorStorm: Apocalypse], rating[poor], has_multiplayer[yes], platforms[PlayStation])","MotorStorm: Apocalypse was a pretty bad game, even the local multiplayer couldn't salvage the experience, despite my friends all joining me on my PlayStation."
"give_opinion(name[MotorStorm: Apocalypse], rating[poor], genres[vehicular combat], player_perspective[third person])","MotorStorm: Apocalypse was really disappointing. I had such high hopes for a third person vehicular combat game, but it seems I still must wait for a true successor to Twisted Metal."
"give_opinion(name[Rocket League], developer[Psyonix], esrb[E (for Everyone)], rating[good])",I think Rocket League is quite good. I think that Psyonix has created an attractive selection of games rated E (for Everyone).
"give_opinion(name[Super Mario World], esrb[E (for Everyone)], rating[excellent], has_multiplayer[yes])","Super Mario World is my current favorite game. I love multiplayer games that are rated E (for Everyone), so this is really my cup of tea!"
"give_opinion(name[Life is Strange], rating[good], player_perspective[third person], has_linux_release[yes])",I am very partial to Life is Strange. It's one of a selection of very enjoyable third person games released for the Linux OS.
"give_opinion(name[Far Cry 3], release_year[2012], rating[good])",I had a lot of fun with Far Cry 3 when I first picked it up in 2012
"give_opinion(name[Mirror's Edge Catalyst], developer[EA Digital Illusions CE], rating[average], genres[action-adventure, fighting])",EA Digital Illusions CE gets a solid C for this entry into the action-adventure fighting game genre. Mirror's Edge Catalyst is nothing special.
"give_opinion(name[Need for Speed: Shift], rating[average], genres[driving/racing, simulation], player_perspective[first person])","I think Need for Speed: Shift was an okay game, but it's not gonna be one of my favorites. It's just that first person driving/racing simulators are, for me, a type of game I always find to be merely okay."
"give_opinion(name[Metroid Prime Pinball], release_year[2005], rating[average], genres[pinball, puzzle])","Metroid Prime Pinball is just okay. I usually like games released in 2005, since that was a strong year, but I'm not really a big fan of puzzle pinball games."
"give_opinion(name[Age of Empires II: The Age of Kings], rating[good], platforms[PC], has_mac_release[yes])","I really liked Age of Empires II: The Age of Kings, it's a solid PC game, and it actually was ported to Mac too, which is a pretty nice addition in terms of expanding access to the game."
"give_opinion(name[The Elder Scrolls V: Skyrim], rating[good], platforms[PC], available_on_steam[yes])",I had fun playing The Elder Scrolls V: Skyrim. I generally like playing games from Steam on my PC.
"give_opinion(name[Tomb Raider: The Last Revelation], esrb[T (for Teen)], rating[good], platforms[PlayStation])","I like PlayStation games that go for a T rating to balance being family friendly and having mature themes, so I enjoyed Tomb Raider: The Last Revelation."
"give_opinion(name[BioShock], rating[good], player_perspective[first person], platforms[PC])","I normally don't play games on the PC, but the first person perspective of BioShock was so well done that I actually thought the game was pretty good."
"give_opinion(name[Worms: Reloaded], rating[average], player_perspective[side view], available_on_steam[yes])",Worms: Reloaded is an average quality side view game you can at least find on Steam.
"give_opinion(name[Tom Clancy's Splinter Cell: Chaos Theory], rating[good], genres[action, tactical], has_multiplayer[yes])",I'm pretty into Tom Clancy's Splinter Cell: Chaos Theory. I've always been a fan of multiplayer tactical action games.
"give_opinion(name[StarCraft], developer[Blizzard Entertainment], rating[good], player_perspective[bird view])",StarCraft is an entertaining game released by Blizzard Entertainment. The bird's eye view in the game helps you keep an eye on everything in the game.
"give_opinion(name[Undertale], rating[excellent], player_perspective[bird view])",I loved Undertale. It really took advantage of the bird's eye view and did a lot of novel things in its genre.
"give_opinion(name[Commandos: Behind Enemy Lines], rating[good], genres[strategy, tactical], player_perspective[bird view])","Commandos: Behind Enemy Lines is a pretty good game. The tactical strategy gameplay is fun, and the bird view perspective makes it easy to play."
"give_opinion(name[Sid Meier's Civilization V], developer[Firaxis Games], rating[good], has_multiplayer[yes])","Sid Meier's Civilization V is a pretty enjoyable game in my opinion. Firaxis Games is a quality developer, and the multiplayer was a nice addition to the game as well."
"give_opinion(name[Diablo II], developer[Blizzard North], rating[good], has_mac_release[yes])","Oh man, I miss the old Blizzard North, Diablo II is a game that in many respects hasn't been rivaled. And thankfully, it's out on Mac too!"
"give_opinion(name[Call of Duty: Advanced Warfare], rating[average], player_perspective[first person], platforms[PlayStation])","Call of Duty: Advanced Warfare was just plain average. I like games that are on the PlayStation normally, but the first person perspective made the experience kind of mediocre."
"give_opinion(name[Tom Clancy's The Division], release_year[2016], rating[average], has_multiplayer[yes])","Tom Clancy's The Division is an all-around average multiplayer game from 2016, I would say."
"give_opinion(name[The Last of Us], rating[excellent], player_perspective[third person], platforms[PlayStation])","The Last of Us was a truly excellent game. I loved how the third person perspective enhanced the experience, and it being for the PlayStation was an added bonus."
"give_opinion(name[The Wolf Among Us], developer[Telltale Games], rating[good], platforms[PC])","I had fun playing The Wolf Among Us. Altogether, I like playing Telltale Games on PC."
"give_opinion(name[Diablo II], developer[Blizzard North], rating[good], has_mac_release[yes])","Diablo II is a good game, I'd say. Blizzard North makes quality content, and the fact that it actually has a Mac release is nice."
"give_opinion(name[Need for Speed: Shift], rating[average], player_perspective[first person], has_multiplayer[yes])","Need for Speed: Shift is a solid multiplayer first person game, all in all, I'd call it average."
"give_opinion(name[Need for Speed: Most Wanted], rating[good], genres[driving/racing], has_multiplayer[yes])",I think that Need for Speed: Most Wanted is fun to play. Driving/racing games that include multiplayer tend to be enjoyable to me.
"give_opinion(name[The Room], developer[Fireproof Games], rating[excellent], has_linux_release[yes])","I always love playing games on Linux, and Fireproof Games is one of the best developers out there, so The Room was like a match made in heaven for me. An absolutely amazing game."
"give_opinion(name[Madden NFL 15], developer[EA Tiburon], rating[average])",I feel like EA Tiburon didn't do quite a great job developing Madden NFL 15.
"give_opinion(name[Trivial Pursuit], rating[poor], has_multiplayer[yes], platforms[Nintendo])",I'm not at all a fan of Nintendo multiplayer games like Trivial Pursuit.
"give_opinion(name[RollerCoaster Tycoon], rating[good], genres[simulation, strategy], has_mac_release[no])","RollerCoaster Tycoon is a pretty good single-player strategy simulation game. My only tiny gripe with it is that it doesn't run on Mac, so I have to sit at my desktop computer to play it."
"give_opinion(name[Age of Wonders II: The Wizard's Throne], rating[poor], genres[role-playing, turn-based strategy])",I didn't enjoy Age of Wonders II: The Wizard's Throne. I just can't seem to get into turn-based strategy games that also include role-playing elements.
"give_opinion(name[Call of Duty: Advanced Warfare], rating[average], genres[action, shooter], has_multiplayer[yes])","When it comes to multiplayer action shooters, I do tend to be quite picky. Unfortunately, for whatever reason, Call of Duty: Advanced Warfare didn't do it for me. It was still alright, but just, meh."
"give_opinion(name[Portal 2], developer[Valve Corporation], rating[excellent], platforms[PlayStation])","Portal 2 is my dream game. Valve Corporation is my favorite developer and the PlayStation is my favorite system, so combining the two is a match made in heaven."
"give_opinion(name[Mirror's Edge Catalyst], rating[average], player_perspective[first person], platforms[PlayStation])","Mirror's Edge Catalyst was a pretty mediocre first person game. When it came to the PlayStation, I picked it up, but honestly I found it didn't do the premise justice."
"give_opinion(name[Rocket League], developer[Psyonix], esrb[E (for Everyone)], rating[good])","I like playing E rated games, but it seems so many developers don't put effort into them. Fortunately, Psyonix is a developer that does, so I had a good time playing Rocket League."
"give_opinion(name[StarCraft], rating[good], genres[real-time strategy], has_multiplayer[yes])","StarCraft is a delightful multiplayer RTS game, best played with friends."
"give_opinion(name[The Elder Scrolls V: Skyrim], release_year[2011], esrb[M (for Mature)], rating[good])","I know The Elder Scrolls V: Skyrim is an M rated game from 2011, but it's my favorite game from that year."
"give_opinion(name[Super Mario World], developer[Nintendo EAD], rating[excellent], player_perspective[side view])","Man, Super Mario World is great, such a classic! It really set the stage for future side view games too, truly a masterclass in design from Nintendo EAD."
"give_opinion(name[World of Warcraft], rating[good], available_on_steam[no])","I used to love World of Warcraft, I just wish it was available on Steam, that would be so convenient."
"give_opinion(name[Ori and the Blind Forest], rating[excellent], player_perspective[side view], platforms[Xbox])",I love to play side scrolling games on Xbox and with Ori and the Blind Forest I just hit the jackpot.
"give_opinion(name[FIFA 12], rating[average], has_multiplayer[yes], platforms[Xbox])","Although FIFA 12 on Xbox has multiplayer, in my opinion, the game is just okay."
"give_opinion(name[RollerCoaster Tycoon], developer[MicroProse], rating[good], player_perspective[bird view])","RollerCoaster Tycoon was a masterstroke considering it was made by MicroProse. I really quite liked this game, and it did well with the bird view perspective too."
"give_opinion(name[Madden NFL 15], rating[average], platforms[Xbox])","Having played Madden NFL 15 on Xbox, I found the controls and graphics mediocre."
"give_opinion(name[Tom Clancy's Splinter Cell: Chaos Theory], developer[Ubisoft Montreal], rating[good], player_perspective[first person])","I'm a fan of Tom Clancy's Splinter Cell: Chaos Theory. Most of the time, I enjoy Ubisoft Montreal's first person games."
"give_opinion(name[Metroid Prime Pinball], developer[Fuse Games], rating[average], platforms[Nintendo])","I like playing games on the Nintendo, but Fuse Games doesn't take advantage of the platform properly, so Metroid Prime Pinball ended up being just average."
"give_opinion(name[Need for Speed: Most Wanted], rating[good], genres[driving/racing], has_multiplayer[yes])","Need for Speed: Most Wanted is really fun, racing games really shine when they include multiplayer."
"give_opinion(name[Worms: Reloaded], rating[average], player_perspective[side view], has_multiplayer[yes])","Multiplayer games can be very fun, but the side view perspective of Worms: Reloaded made it merely average in my opinion."
"give_opinion(name[Lara Croft and the Temple of Osiris], developer[Crystal Dynamics], rating[average])",Crystal Dynamics tends to produce average games like Lara Croft and the Temple of Osiris.
"give_opinion(name[Guitar Hero: Smash Hits], developer[Beenox], rating[poor])","Guitar Hero: Smash Hits was way worse than any Guitar Hero game, most likely due to it being developed by Beenox."
"give_opinion(name[Might & Magic: Heroes VI], developer[Black Hole Entertainment], rating[average], player_perspective[bird view])",I wouldn't say Might & Magic: Heroes VI is anything more than an average bird's eye view game from Black Hole Entertainment.
"give_opinion(name[Rollcage], developer[Attention To Detail], rating[average], player_perspective[third person])","Rollcage was an okay third person game, but the lack of dedication of Attention To Detail really sets it back."
"give_opinion(name[Tom Clancy's The Division], esrb[M (for Mature)], rating[average], platforms[Xbox])",I'm so-so on M-rated Xbox games like Tom Clancy's The Division.
"give_opinion(name[Tom Clancy's Splinter Cell: Chaos Theory], release_year[2005], rating[good], platforms[PlayStation])","Tom Clancy's Splinter Cell: Chaos Theory is pretty cool. This 2005 PlayStation game may not be the newest, but it's still a blast to play."
"give_opinion(name[Far Cry 3], rating[good], player_perspective[first person])",I thought Far Cry 3 was pretty good. I have a thing for first person perspective games.
"give_opinion(name[Portal 2], rating[excellent], player_perspective[first person], has_multiplayer[yes])","I've been having an absolute blast playing Portal 2. First person games are always my favorite, but the multiplayer makes it even better."
"give_opinion(name[Far Cry 3], rating[good], platforms[PlayStation])","I eventually picked up Far Cry 3 for my PlayStation after hearing of the hype, and thankfully, it's a pretty good game."
"give_opinion(name[Stronghold 2], developer[Firefly Studios], esrb[T (for Teen)], rating[average])","For a game from Firefly Studios, Stronghold 2 is so-so. Not bad for a teen rated game."
"give_opinion(name[Mirror's Edge Catalyst], developer[EA Digital Illusions CE], rating[average], has_multiplayer[yes])","Oh man, Mirror's Edge Catalyst didn't live up to my expectations of a game by EA Digital Illusions CE. The multiplayer could have been so much better."
"give_opinion(name[Need for Speed: Shift], rating[average], player_perspective[first person], has_multiplayer[yes])","I thought Need for Speed: Shift was mediocre. It's got multiplayer, which is always a plus for me, but I prefer games that aren't from a first person perspective."
"give_opinion(name[The Elder Scrolls Online], rating[average], player_perspective[first person], has_mac_release[yes])","I thought The Elder Scrolls Online was quite okay. I love that it got a Mac release, but the first person perspective just made it mediocre in my view."
"give_opinion(name[Super Mario World], rating[excellent], player_perspective[side view], has_multiplayer[yes])","Super Mario World is just a fantastic game. A truly amazing side view game, especially considering the multiplayer!"
"give_opinion(name[The Room], rating[excellent], genres[indie, point-and-click, puzzle], available_on_steam[yes])",The Room was just incredible. Indie point-and-click puzzle games are really flourishing on Steam.
"give_opinion(name[World of Warcraft], developer[Blizzard Entertainment], rating[good])",World of Warcraft is a really good game from Blizzard Entertainment.
"give_opinion(name[Payday 2], esrb[M (for Mature)], rating[average], player_perspective[first person])","Payday 2 is kind of fun, but fails to be anything special. I like first person games usually, but the M rating means the content is just a bit too much for my tastes."
"give_opinion(name[World of Warcraft], rating[good], platforms[PC])","World of Warcraft was good, but I think it could have been even more popular if they released the game on more than just PC."
"give_opinion(name[Portal 2], rating[excellent], player_perspective[first person], has_multiplayer[yes])","Portal 2 is a downright excellent first person game, with an amazing multiplayer experience to boot."
"give_opinion(name[Stronghold 2], release_year[2005], rating[average], has_mac_release[no])","Stronghold 2 is a decent game, all things considered. I wasn't wild about it not having a Mac release, but it came out in 2005, so what can you really expect there?"
"give_opinion(name[Payday 2], esrb[M (for Mature)], rating[average], player_perspective[first person])","Payday 2 isn't a bad game, but doesn't do anything to draw attention to it. It's like so many M rated first person games, and seems to feel like those facts alone are enough to make you want to play it."
"give_opinion(name[Call of Duty: Advanced Warfare], developer[Sledgehammer Games], esrb[M (for Mature)], rating[average])","I'm not a fan of M rated games, so I thought I'd hate Call of Duty: Advanced Warfare. But Sledgehammer Games is a developer that knows what they're doing most of the time, so I actually found it to be okay."
"give_opinion(name[Payday 2], developer[Overkill Software], rating[average], has_multiplayer[yes])","Payday 2 isn't the worst game in the world, I'd say. It's got multiplayer which is always a plus, but Overkill Software just doesn't make games that stand out much."
